s.no,code,Station,Latitude,Longitude
211,ORC,Orchha,25.4011888,78.6457436
212,KRTH,Kiratgarh,22.5381324,77.7729751
213,BQM,Barelipar,22.0522454,78.4085267
214,KQE,Kala Akhar,22.3950799,77.8183071
215,JMV,Jambara,21.9428941,78.2515749
216,BCRD,Barchi Road,21.9525499,78.3120223
217,PCLI,Palachauri,22.2006745,78.6660535
218,BYS,Barsali,21.910178,78.0313949
219,MKDN,Markadhana,22.1111315,78.502774
220,GNW,Gangiwara,22.095824,78.8476744
221,MALK,Malkapur Road,21.9047135,77.9668799
222,MGRD,Magardoh,22.2455699,77.8942027
223,MSO,Misrod,23.1684964,77.4586234
224,HRG,Hirdagarh,22.1422333,78.5168853
225,TAKU,Taku,22.4886438,77.8196482
226,BKA,Barkhera,22.9168461,77.6500363
227,IKR,Iklehra,22.2079607,78.7088841
228,MJY,Maramjhiri,21.9445336,77.8834156
229,SAHL,Saheli,22.4535608,77.8162861
230,KTHA,Khutaha,24.8074848,80.8609146
231,PTWA,Patwara,23.9138274,80.4137152
232,TKYR,Tikaria,25.0005601,80.8746937
233,LGCE,Lagargawan,24.4646226,80.8148761
234,GPC,Ghatpindrai,22.9519905,79.2662487
235,BUU,Bhadanpur,24.1667042,80.6779396
236,PKRD,Pakaria Road,24.0476642,80.501048
237,CTHR,Chitahra,24.871131,80.8383948
238,MKD,Markundi,25.0182261,80.9484672
239,SAGM,Sagma,24.627191,80.8287764
240,HET,Hetampur,26.6108502,77.9437529
241,SANK,Sank,26.4304728,78.0597694
242,SASR,Sausar,21.6585741,78.8024603
243,BSDL,Bharsendi,24.053768,82.0161903
244,CID,Chiraidongri,22.4112801,80.287392
245,MDRR,Madhavnagar Road,23.7872221,80.3944061
246,CRL,Choral,22.4496338,75.9456731
247,BDKD,Bhandarkund,21.8362616,78.9184378
248,BUQ,Bargi,22.9939898,79.872322
249,SEX,Seroni Road,25.9462338,76.8857865
250,MDXR,Mudaria,23.3580396,81.0951704
251,GOPA,Ghosipura,26.2128776,78.1522371
252,SKY,Shikara,22.800178,79.85713
253,SMC,Samnapur,21.9418764,80.1564209
254,PIGT,Pilighat,24.6576819,77.5058534
255,SKLI,Sukli,21.6665432,79.67784
256,BIR,Bir,22.0528708,76.5471648
257,SKPR,Sikarpur Halt,21.9849281,78.9460341
258,SKU,Sikroda,26.339735,77.7330244
259,CKKD,Charkheda Khurd,21.9386692,76.6414592
260,TJP,Tajpur,23.2167525,75.923335
261,LDE,Lodhikheda,21.5801288,78.8548906
262,KRQ,Karari,25.5307738,78.5088874
263,KOA,Karonda,24.3302172,78.2651192
264,BIWK,Bisalwas Kalan,24.4976845,74.7840496
265,VNK,Binaiki,22.7197702,79.9031003
266,ARI,Antri,26.0356437,78.2269532
267,SMV,Sumaoli,26.3734391,77.9156399
268,RJQ,Rajendra Nagar,22.6700186,75.8292229
269,SUMR,Sumer,23.6253811,77.8798975
270,LIG,Linga,21.9647994,78.9372258
271,AJN,Ajnod,22.9314205,75.7383947
272,BMA,Bagmar,21.7251534,76.3632524
273,KKD,Kalakund,22.4776771,75.8598337
274,KTKD,Katangi Khurd,23.7763516,80.484885
275,SOE,Sheopur Kalan,25.6713529,76.7005775
276,POX,Pola Patthar,22.3455025,77.8549168
277,NNE,Nonera,26.4264194,78.3059887
278,BSRI,Basari,24.8135796,79.702878
279,MWAI,Mawai,24.7902703,78.924467
280,LKMN,Lokmanya Nagar,21.1108046,79.001754
281,DGN,Dongargaon,21.6200653,76.3707733
282,KTRA,Kotra,25.8112268,78.3810723
283,KRXA,Khara,21.6651468,80.2038168
284,ARPR,Alirajpur,22.3001679,74.3987182
285,HTT,Hatta Road,21.7052761,80.2078579
286,MKT,Mukhtiara Balwada,22.3853551,75.9779783
287,KNDG,Kanhad Gaon,21.7411956,80.2080949
288,ABRV,Ambari Richhavi,22.3195537,74.2718937
289,GRHX,Garra,21.7999652,80.1470759
290,KAYI,Kaydi Halt,21.7952658,80.1092929
291,WRI,Waraseoni,21.7712719,80.0575563
